Zipcode,Population,Land Area (Sq. Miles),Population Density (People per Square Mile),Median Age,Population By Age % (Under 18 Years),Population By Age % (18 to 34),Population By Age % (35 to 64),Population By Age % (65 and Over),Male %,White %,Black %,Asian %,Hispanic %,Other %,Less Than High School %,High School Grad or Higher %,Bachelor's Degree or Higher %,Media Household Income $,Gini Index,Unemployed % ,Poverty %,Average Commute to Work (min),Drove Alone %,Carpooled %,Public Transit %,Motorcycle %,Bicycle %,Walked %,Other %.1,Worked at Home %,Health Insurance Coverage %,Married %,Median House Value $,label
91902,17759.0,11.22,1583.23,45.8,17.62,20.69,38.98,22.72,48.33,37.37,2.16,13.63,42.78,4.06,8.33,91.67,43.18,112331.0,0.41,7.55,5.9,27.0,81.16,5.1,0.97,0.16,0.37,0.0,1.53,10.71,94.78,52.66,732000.0,6
91910,76291.0,12.59,6061.25,38.2,21.7,23.58,39.95,14.77,49.92,20.32,3.56,9.43,63.11,3.58,18.39,81.61,26.13,77005.0,0.45,9.98,11.85,27.0,75.51,9.54,3.86,0.52,0.29,0.95,0.57,8.75,91.27,48.09,549100.0,3
91911,88589.0,12.73,6960.37,35.8,24.01,24.85,38.28,12.86,48.26,12.75,3.54,8.25,72.97,2.49,23.81,76.19,18.54,70873.0,0.41,12.7,11.75,29.0,76.01,11.53,4.16,0.18,0.19,1.23,1.04,5.67,90.78,49.91,485300.0,3
91913,53725.0,9.1,5906.59,35.0,25.91,24.07,39.45,10.58,50.7,13.64,7.5,24.06,50.26,4.54,9.56,90.44,39.76,114352.0,0.42,6.43,5.24,31.0,74.06,9.89,0.87,0.26,0.0,1.29,2.28,11.35,93.92,53.91,578600.0,0
91914,17742.0,6.64,2670.34,37.1,25.17,20.57,44.35,9.92,52.68,18.14,3.42,21.99,50.74,5.71,4.48,95.52,44.26,150284.0,0.33,7.74,3.12,28.0,71.07,6.05,1.19,0.08,0.43,7.09,3.51,10.57,93.01,61.59,739300.0,2
91915,34616.0,7.73,4478.73,33.7,31.84,20.41,41.37,6.38,50.83,17.82,7.65,24.74,43.84,5.95,5.03,94.97,47.68,128839.0,0.33,6.04,6.2,32.0,78.82,8.36,0.37,0.34,0.0,0.24,1.39,10.49,96.21,61.03,604600.0,2
91932,26375.0,4.28,6167.13,33.4,22.74,29.53,37.77,9.97,50.58,32.58,4.69,7.0,51.89,3.84,13.76,86.24,23.42,68917.0,0.42,6.77,13.42,28.0,75.38,7.67,4.98,0.36,0.47,2.47,0.83,7.86,87.53,41.73,639200.0,0
91950,58349.0,7.34,7952.26,36.2,22.2,26.22,36.63,14.95,47.72,10.1,3.9,16.44,66.53,3.03,26.09,73.91,14.45,51300.0,0.44,8.43,15.44,27.0,68.12,16.99,4.91,0.18,0.77,3.7,0.77,4.57,87.15,45.25,450700.0,3
92118,19672.0,7.69,2558.07,41.7,19.07,23.52,36.66,20.75,54.97,71.17,3.34,3.51,18.07,3.91,2.53,97.47,64.43,114559.0,0.5,4.08,5.56,23.0,59.42,5.97,1.09,1.01,4.31,9.47,1.55,17.19,95.98,60.55,1656900.0,1
92154,85024.0,51.3,1657.29,35.0,23.35,26.67,37.12,12.86,52.43,12.1,4.66,10.78,69.0,3.46,21.98,78.02,17.96,74705.0,0.39,7.49,10.98,29.0,78.54,10.96,4.01,0.23,0.03,0.61,0.43,5.19,90.73,49.16,477900.0,3
92173,29634.0,2.88,10298.81,33.1,26.88,26.79,35.63,10.69,47.0,2.69,1.27,1.49,93.37,1.18,38.49,61.51,10.54,54003.0,0.47,12.07,17.87,28.0,74.87,10.66,7.25,0.28,0.0,2.4,0.58,3.96,86.69,49.72,388700.0,3
92101,43096.0,5.38,8004.93,36.6,5.37,40.6,39.33,14.69,56.68,56.98,7.65,8.82,21.96,4.59,7.28,92.72,55.12,78092.0,0.51,5.91,14.05,24.0,53.43,6.03,5.88,0.89,1.74,11.93,1.19,18.91,94.32,34.54,626000.0,4
92102,40083.0,4.49,8925.79,34.0,21.29,30.98,37.55,10.18,50.16,25.33,9.54,5.5,56.56,3.07,25.09,74.91,28.09,59586.0,0.43,9.3,16.9,24.0,68.07,10.4,7.51,0.52,0.8,3.01,1.13,8.56,85.99,38.39,477100.0,3
92103,33873.0,3.68,9192.66,41.7,8.82,29.34,41.37,20.47,52.03,68.24,2.34,7.13,17.57,4.72,3.51,96.49,63.99,84756.0,0.5,4.01,8.23,23.0,68.71,4.7,2.88,0.56,0.84,4.74,1.54,16.03,96.66,38.32,835300.0,4
92104,45773.0,3.69,12389.33,34.2,14.43,37.36,39.51,8.7,51.45,50.59,7.13,5.27,31.54,5.47,8.03,91.97,52.37,79929.0,0.4,5.86,9.87,23.0,69.75,6.46,4.06,0.54,1.08,2.3,1.02,14.79,90.73,34.51,679300.0,4
