bike_rider,zipcode,ebike_rider,by_public,by_car,by_bike,by_ebike,by_walking,no_commute,miles,try_bike,ebike_class,private_locker,group_locker,locker,ebike_rules,safty,interested
no,92115,no,0,0,0.0,0,0,1,,maybe,no,very,very,,don't know,not very,no
no,92129,no,0,1,0.0,0,0,0,,no,a bit,,,,not very,somewhat,no
no,92115,yes,1,0,0.0,0,0,0,1,maybe,a bit,very,somewhat,,don't know,very,yes
no,92562,no,0,0,0.0,0,0,1,,,no,,,,don't know,not concerned,maybe
yes,92109,no,0,0,0.0,0,0,1,,,no,,,,don't know,not concerned,no
no,92523,yes,0,0,0.0,0,0,1,,,no,,,,don't know,not concerned,maybe
no,92110,no,0,0,0.0,0,0,1,,,yes,,,,don't know,somewhat,no
yes,92020,no,0,0,0.0,0,0,1,,,yes,,,,not very,not concerned,yes
yes,92101,no,0,0,0.0,0,1,0,8,yes,no,somewhat,very,,don't know,very,yes
yes,92139,no,1,0,0.0,0,0,0,,maybe,no,very,very,,not very,not concerned,yes
yes,91945,yes,0,0,0.0,0,0,1,,,no,,,,don't know,very,maybe
no,92154,no,0,1,0.0,0,0,0,25,no,no,,,,don't know,somewhat,no
yes,91977,no,0,0,1.0,0,0,0,2,yes,no,very,not very,,don't know,not concerned,yes
yes,92115,no,0,1,0.0,0,0,0,40,maybe,no,very,not very,,somewhat,not very,
no,91941,no,1,1,0.0,0,0,0,,maybe,no,not very,not very,,very,not very,yes
yes,92139,no,0,0,0.0,0,0,1,,no,nan,,,,nan,,
yes,92143,no,0,0,0.0,0,0,0,39,yes,no,very,very,,don't know,not concerned,yes
no,92037,no,0,1,0.0,0,0,0,,no,no,,,,nan,,no
yes,92108,no,0,1,0.0,0,1,0,13,maybe,a bit,very,very,,very,very,no
no,92114,yes,0,1,0.0,0,0,0,45,yes,a bit,very,not very,,very,somewhat,yes
yes,92154,no,0,1,0.0,0,0,0,40,yes,no,very,very,,somewhat,not very,yes
