bike_rider,zipcode,ebike_rider,by_public,by_car,by_bike,by_ebike,by_walking,no_commute,miles,try_bike,ebike_class,private_locker,group_locker,locker,ebike_rules,safty,interested,label
no,92115,no,0,0,0.0,0,0,1,,maybe,no,very,very,,don't know,not very,no,3
no,92129,no,0,1,0.0,0,0,0,,no,a bit,,,,not very,somewhat,no,0
no,92115,yes,1,0,0.0,0,0,0,1.0,maybe,a bit,very,somewhat,,don't know,very,yes,3
no,92562,no,0,0,0.0,0,0,1,,,no,,,,don't know,not concerned,maybe,NaN
yes,92109,no,0,0,0.0,0,0,1,,,no,,,,don't know,not concerned,no,4
no,92523,yes,0,0,0.0,0,0,1,,,no,,,,don't know,not concerned,maybe,NaN
no,92110,no,0,0,0.0,0,0,1,,,yes,,,,don't know,somewhat,no,4
yes,92020,no,0,0,0.0,0,0,1,,,yes,,,,not very,not concerned,yes,3
yes,92101,no,0,0,0.0,0,1,0,8.0,yes,no,somewhat,very,,don't know,very,yes,4
yes,92139,no,1,0,0.0,0,0,0,,maybe,no,very,very,,not very,not concerned,yes,3
yes,91945,yes,0,0,0.0,0,0,1,,,no,,,,don't know,very,maybe,3
no,92154,no,0,1,0.0,0,0,0,25.0,no,no,,,,don't know,somewhat,no,3
yes,91977,no,0,0,1.0,0,0,0,2.0,yes,no,very,not very,,don't know,not concerned,yes,3
yes,92115,no,0,1,0.0,0,0,0,40.0,maybe,no,very,not very,,somewhat,not very,,3
no,91941,no,1,1,0.0,0,0,0,,maybe,no,not very,not very,,very,not very,yes,1
yes,92139,no,0,0,0.0,0,0,1,,no,,,,,,,,3
yes,92143,no,0,0,0.0,0,0,0,39.0,yes,no,very,very,,don't know,not concerned,yes,NaN
no,92037,no,0,1,0.0,0,0,0,,no,no,,,,,,no,0
yes,92108,no,0,1,0.0,0,1,0,13.0,maybe,a bit,very,very,,very,very,no,NaN
no,92114,yes,0,1,0.0,0,0,0,45.0,yes,a bit,very,not very,,very,somewhat,yes,3
yes,92154,no,0,1,0.0,0,0,0,40.0,yes,no,very,very,,somewhat,not very,yes,3
yes,92102,yes,0,1,0.0,0,0,0,10.0,yes,yes,very,very,,very,somewhat,no,3
no,92101,no,0,1,0.0,0,0,0,6.0,yes,a bit,somewhat,somewhat,,very,very,no,4
yes,92124,yes,0,1,0.0,1,0,0,30.0,yes,yes,very,somewhat,,very,very,yes,1
no,92029,no,0,1,0.0,0,0,0,28.0,no,no,,,,very,somewhat,no,0
